"","YEAR","id2","EEZgrid","START_LONGITUDE","START_LATITUDE","S"
"45","2001",46,"1 g587",-164.666404628218,53.3510109274982,0.077
"46","2003",46,"1 g587",-164.666404628218,53.3510109274982,0.238
"47","2005",46,"1 g587",-164.666404628218,53.3510109274982,0.028
"48","2009",46,"1 g587",-164.666404628218,53.3510109274982,0.188
"49","2011",46,"1 g587",-164.666404628218,53.3510109274982,0.434
"50","2013",46,"1 g587",-164.666404628218,53.3510109274982,0.114
"51","2015",46,"1 g587",-164.666404628218,53.3510109274982,0.247
"52","2017",46,"1 g587",-164.666404628218,53.3510109274982,0.251
"53","1993",58,"1 g557",-165.966090297497,53.8439216736001,0.375
"54","1996",58,"1 g557",-165.966090297497,53.8439216736001,0.49
"55","1999",58,"1 g557",-165.966090297497,53.8439216736001,0.5
"56","2001",58,"1 g557",-165.966090297497,53.8439216736001,0.352
"57","2003",58,"1 g557",-165.966090297497,53.8439216736001,0.484
"58","2005",58,"1 g557",-165.966090297497,53.8439216736001,0.54
"59","2007",58,"1 g557",-165.966090297497,53.8439216736001,0.43
"60","2009",58,"1 g557",-165.966090297497,53.8439216736001,0.543
"61","2011",58,"1 g557",-165.966090297497,53.8439216736001,0.575
"62","2013",58,"1 g557",-165.966090297497,53.8439216736001,0.499
"63","2015",58,"1 g557",-165.966090297497,53.8439216736001,0.469
"64","2017",58,"1 g557",-165.966090297497,53.8439216736001,0.513
"65","1993",45,"1 g586",-166.112599501452,53.1873102158826,0.374
"66","1996",45,"1 g586",-166.112599501452,53.1873102158826,0.119
"67","1999",45,"1 g586",-166.112599501452,53.1873102158826,0.13
"68","2001",45,"1 g586",-166.112599501452,53.1873102158826,0.17
"69","2003",45,"1 g586",-166.112599501452,53.1873102158826,0.181
"70","2005",45,"1 g586",-166.112599501452,53.1873102158826,0.152
"71","2007",45,"1 g586",-166.112599501452,53.1873102158826,0.189
"72","2009",45,"1 g586",-166.112599501452,53.1873102158826,0.248
"73","2011",45,"1 g586",-166.112599501452,53.1873102158826,0.204
"74","2013",45,"1 g586",-166.112599501452,53.1873102158826,0.219
"75","2015",45,"1 g586",-166.112599501452,53.1873102158826,0.444
"76","2017",45,"1 g586",-166.112599501452,53.1873102158826,0.193
"77","1993",44,"1 g585",-167.554956986491,52.9544727092926,0.443
"78","1996",44,"1 g585",-167.554956986491,52.9544727092926,0.226
"79","1999",44,"1 g585",-167.554956986491,52.9544727092926,0.326
"80","2001",44,"1 g585",-167.554956986491,52.9544727092926,0.312
"81","2003",44,"1 g585",-167.554956986491,52.9544727092926,0.492
"82","2005",44,"1 g585",-167.554956986491,52.9544727092926,0.506
"83","2007",44,"1 g585",-167.554956986491,52.9544727092926,0.503
"84","2009",44,"1 g585",-167.554956986491,52.9544727092926,0.528
"85","2011",44,"1 g585",-167.554956986491,52.9544727092926,0.429
"86","2013",44,"1 g585",-167.554956986491,52.9544727092926,0.468
"87","2015",44,"1 g585",-167.554956986491,52.9544727092926,0.521
"88","2017",44,"1 g585",-167.554956986491,52.9544727092926,0.431
"89","1993",43,"1 g584",-168.921528805804,52.6562988859157,0.348
"90","1996",43,"1 g584",-168.921528805804,52.6562988859157,0.316
"91","1999",43,"1 g584",-168.921528805804,52.6562988859157,0.345
"92","2001",43,"1 g584",-168.921528805804,52.6562988859157,0.286
"93","2003",43,"1 g584",-168.921528805804,52.6562988859157,0.165
"94","2005",43,"1 g584",-168.921528805804,52.6562988859157,0.269
"95","2007",43,"1 g584",-168.921528805804,52.6562988859157,0.322
"96","2009",43,"1 g584",-168.921528805804,52.6562988859157,0.333
